Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer_Part_Number

"100n","C0402 0.10 µF X5R 10.00% 10 V","C1","FP-C0402-BB-MFG","CMP-03020-000918-1","1","C0402C104K8PAC"
"330u","CAP ALUM POLY 330UF 20% 35V SMD","C2","FP-PCR1V331MCL1GS-MFG","CMP-12462-000009-1","1","PCR1V331MCL1GS"
"10u","Cap Ceramic 10uF 50V X7R ±10% SMD 1210 +125°C Embossed T/R","C3, C4, C5, C6","FP-CL32-IPC_C","CMP-2000-06110-2","4","CL32B106KBJNNNE"
"1u","CAP CER 1UF 50V X7R 0805","C7, C8","FP-CC0805-0_85-MFG","CMP-03422-000864-1","2","CC0805KKX7R9BB105"
"470u","470?µF, 35?V, 11?mO ESR, Hybrid Polymer","C9, C10, C13, C15","CAP_EEHZS1V471V","EEHZS1V471V","4","EEHZS1V471V"
"47u","Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 47uF, X7R, 15%, 10%, 10V","C11, C12, C14","FP-GRM32E-0_3-0_2-IPC_A","CMP-1662-00023-3","3","GRM32ER71A476KE15L"
"4u7","CAP CER 4.7UF 6.3V X5R 0603","C16","FP-CC0603-DA-MFG","CMP-03422-000495-1","1","CC0603KRX5R5BB475"
"1u","","C17","CAPC1608X95X40NL15T15","CMP-2006-00046-1","1","VJ0603G105KXYCW1BC"
"100n","","C18","CAPC1608X95X40NL15T15","CMP-1035-02584-2","1","VJ0603Y104KXJCW1BC"
"LTST-C170KGKT","Ultra Bright AlInGaP Chip LED, 75 mW, -55 to 85 degC, 2-Pin SMD (0805), RoHS, Tape and Reel","DS1","LTST-LTST-C170KGKT-2_V","CMP-2000-06620-1","1","LTST-C170KGKT"
"6PCV-02-006","Connector","J1, J2","6PCV02006","6PCV-02-006","2","6PCV-02-006"
"560n","FIXED IND","L1","FP-FCUL1060-MFG","CMP-06042-016308-1","1","FCUL1060-H-R56M=P3"
"3R3","","R1","RESC1005X40X25LL05T10","CMP-2002-07619-1","1","RC0402FR-0733RL"
"562K","RES Thick Film, 562kO, 1%, 0.063W, 100ppm/°C, 0402","R2","FP-CRCW0402-e3-MFG","CMP-2002-00099-2","1","CRCW0402562KFKED"
"100K","","R3, R6","RESC1005X40X25NL05T10","CMP-2002-07343-1","2","RC0402FR-07100KL"
"10K","Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R4, R8","RESC1609X50X30NL8T20","CMP-1666-00005-4","2","CRCW060310K0FKEA"
"200K","","R5","RESC1005X40X25LL05T10","CMP-2002-07497-1","1","RC0402FR-07200KL"
"309K","","R7","RESC1005X40X25LL05T10","CMP-2002-07598-1","1","RC0402FR-07309KL"
"510R","","R9","RESC3116X65X40LL10T20","CMP-2003-03988-1","1","RC1206JR-07510RL"
"SIC431AED-T1-GE3","SIC431AED-T1-GE3 IC Reg Buck Adj 24A MLP44-24","U1","FP-T22-0442-MFG","CMP-00030-87948104-1","1","SIC431AED-T1-GE3"
